data,hora,taxa
2025/01/04,13:11:59,12.364943716115466
2025/01/04,13:12:00,12.447135478966128
2025/01/04,13:12:01,11.95881095189709
2025/01/04,13:12:02,12.338877495424654
2025/01/04,13:12:03,12.371535500645637
2025/01/04,13:12:04,12.316693327379584
2025/01/04,13:12:05,11.799077349798678
2025/01/04,13:12:06,12.047981842360905
2025/01/04,13:12:07,11.684310516193797
2025/01/04,13:12:08,12.296580438075708
2025/01/06,08:37:53,12.248288841781733
2025/01/06,08:37:54,12.213328276880054
2025/01/06,08:37:55,11.771006285376185
2025/01/06,08:37:56,12.146267100802872
2025/01/06,08:37:57,12.291705161626187
2025/01/06,08:37:58,12.405964203643304
2025/01/06,08:37:59,12.451286986191217
2025/01/06,08:38:00,11.802417648006795
2025/01/06,08:38:01,12.199749022408797
2025/01/06,08:38:02,12.268388736789108
